narration,category
MANDATE-ATM BOB,Cash Withdrawal
IMPS/331463695507/CHEQUE BOOK CHARGES,Bank Charges
NEFT/840880734956/SONY LIV,Entertainment
UPI/OUT/751241994716/housr@okaxis/Payment,Rent
UPI/OUT/962963962395/metropol@ybl/Payment,Health
UPI/LATE PAYMENT FEE,Bank Charges
IMPS/203138335887/DELHI PROPERTY TAX,Tax
UPI PAYMENT ICICI PRUDENTIAL MF,Investment
POS 487378 CASTROL,Fuel
SIP/SCRIPBOX/92459240,Investment
POS 883636 COURSERA PLUS,Subscriptions
UPI/OUT/090471251538/cashcoun@okhdfcbank/Payment,Cash Withdrawal
ECS-ICICI BANK SAVINGS INTEREST,Interest Income
ECS-HOMIGO,Rent
UPI/SBI HOME LOAN EMI/174717165694,Loan EMI
BILLDESK-ICICI PRUDENTIAL LIFE-346546,Insurance
UPI/OUT/060192749551/ackoinsu@okhdfcbank/Payment,Insurance
MANDATE-JIOMART,Groceries
NEFT-NYKAA-25054408,Personal Care
SELF TRANSFER 17402008,Transfer
POS/584848/MAHARASHTRA PT,Tax
POS PURCHASE ATM AXIS,Cash Withdrawal
POS 678409 RTGS TRANSFER,Transfer
UPI/DR/201657943885/MPHASIS,Income
ACH DR DEBIT CARD ANNUAL FEE,Bank Charges
UPI/DR/694636144045/JIOMART,Groceries
POS PURCHASE POST OFFICE INTEREST,Interest Income
POS 404631 KFC,Food & Dining
UPI/PLUM GOODNESS/739950824737,Personal Care
AUTO DEBIT HDFC BANK FD INTEREST,Interest Income
POS PURCHASE KWALITY WALLS,Food & Dining
UPI-DR-591195432047-YOUTUBE PREMIUM,Entertainment
UPI PAYMENT CARNIVAL CINEMAS,Entertainment
POS 296426 PLAYSTATION STORE,Entertainment
AUTO DEBIT KUVERA,Investment
ACH DR THYROCARE,Health
UPI PAYMENT CUEMATH,Education
MANDATE-TSRTC,Transport
UPI/DR/490774266846/PAYROLL CREDIT,Income
NEFT-SCRIPBOX-29291510,Investment
NACH-GOLD GYM-81494646,Health
ACH DR DSP MUTUAL FUND,Investment
UPI PAYMENT NEFT TRANSFER,Transfer
NEFT-THEOBROMA-15227819,Food & Dining
TDS PAYMENT 30139824,Tax
NACH-REDCLIFFE LABS-91529116,Health
ECS-VLCC,Personal Care
UPI/RTGS TRANSFER,Transfer
IMPS/795585421532/VIDEOCON D2H,Utilities
NEFT/450859427242/AMAZON FRESH,Groceries
IMPS/894166871032/YATRA,Travel
NACH-SBI HOME LOAN EMI-07990605,Loan EMI
ECS-HDFC BANK EMI,Loan EMI
NEFT/464324277927/PHILIPS,Electronics
ECS-PHILIPS,Electronics
ECS-GAANA,Entertainment
POS/005147/UDEMY BUSINESS,Subscriptions
NEFT/143346541447/VEHICLE TAX,Tax
UPI/DR/728255735824/WIPRO LTD,Income
NEFT-BPCL PUMP-76011332,Fuel
NEFT-IOC FUEL STATION-36512276,Fuel
POS/036146/JBL INDIA,Electronics
UPI-P2A-505455846497-INDUSIND BANK EMI,Loan EMI
UPI/VISTARA,Travel
ACH DR FLAT RENT TRANSFER,Rent
NEFT-MINIMUM BALANCE CHARGE-32092444,Bank Charges
MANDATE-NILGIRIS,Groceries
UPI/OUT/458879162360/noise@apl/Payment,Electronics
IMPS/255525700061/SONY LIV,Entertainment
